capacity_mw,estimated_generation_gwh,primary_fuel,longitude,latitude,grid_lon,position_lon,grid_lat,position_lat,num_plants
1492.0,8334.010811804319,Oil,-66.23079607357684,17.951899390168816,-66.22999999999941,117,17.950000000000006,5,1
990.0,5529.9401499237765,Oil,-66.75340271704073,18.000298473002918,-66.74999999999967,65,18.000000000000014,10,1
602.0,3362.6504750041554,Oil,-66.14859700475763,18.455300685395482,-66.14999999999937,125,18.460000000000086,56,1
42.0,295.9097059365489,Gas,-66.2312018517727,17.953299547899597,-66.22999999999941,117,17.950000000000006,5,1
42.0,295.9097059365489,Gas,-65.82489748198483,18.106398323468607,-65.8199999999992,158,18.11000000000003,21,1
42.0,295.9097059365489,Gas,-66.75370147681129,18.001801190057932,-66.74999999999967,65,18.000000000000014,10,1
42.0,295.9097059365489,Gas,-65.6677007925477,18.232501701260055,-65.66999999999912,173,18.23000000000005,33,1
507.0,3572.0528788054826,Gas,-66.75520419386629,17.981200143191007,-66.75999999999968,64,17.98000000000001,8,1
42.0,295.9097059365489,Gas,-66.14019605837294,17.961499834736884,-66.13999999999936,126,17.960000000000008,6,1
220.0,1550.0032215723986,Gas,-67.16000584659918,18.21940086236503,-67.15999999999988,24,18.22000000000005,32,1
126.0,887.7291178096466,Gas,-66.14980096204206,18.455100025848076,-66.14999999999937,125,18.460000000000086,56,1
42.0,295.9097059365489,Gas,-66.39140397531986,18.44580280015164,-66.38999999999949,101,18.450000000000085,55,1
6.0,33.51478878741683,Oil,-65.44400106999949,18.142900524692116,-65.439999999999,196,18.140000000000036,24,1
247.5,1382.4850374809446,Oil,-66.69679888826826,18.46910160315589,-66.69999999999965,70,18.470000000000088,57,1
454.2999877929688,450562.6923495511,Coal,-66.14939964294724,17.947400157205887,-66.14999999999937,125,17.950000000000006,5,1
864.0,4826.129585388025,Oil,-66.1045009544401,18.426998771009263,-66.09999999999934,130,18.43000000000008,53,1
